Date,Category,Amount,Type
01/01/2015 00:00:00,culture,400,Expense
01/01/2015 00:00:00,transportation,1420,Expense
01/01/2015 00:00:00,transportation,300,Expense
01/01/2015 00:00:00,food,100,Expense
01/01/2015 00:00:00,transportation,100,Expense
01/01/2015 00:00:00,transportation,600,Expense
01/01/2015 00:00:00,transportation,200,Expense
01/01/2015 00:00:00,food,2000,Expense
01/01/2015 00:00:00,food,4000,Expense
01/02/2015 00:00:00,apparel,2480,Expense
01/02/2015 00:00:00,household,7840,Expense
01/02/2015 00:00:00,food,260,Expense
01/03/2015 00:00:00,food,880,Expense
01/03/2015 00:00:00,food,60,Expense
01/03/2015 00:00:00,food,200,Expense
01/03/2015 00:00:00,food,800,Expense
01/04/2015 00:00:00,food,500,Expense
01/05/2015 00:00:00,food,200,Expense
01/06/2015 00:00:00,rent,25430,Expense
01/06/2015 00:00:00,cook,7760,Expense
01/06/2015 00:00:00,public provident fund,100000,Expense
01/07/2015 00:00:00,public provident fund,100000,Expense
01/07/2015 00:00:00,money transfer,100000,Expense
01/07/2015 00:00:00,rent,28330,Expense
01/07/2015 00:00:00,maid,3330,Expense
01/09/2015 00:00:00,public provident fund,100000,Expense
01/10/2015 00:00:00,public provident fund,100000,Expense
01/11/2015 00:00:00,transportation,700,Expense
01/11/2015 00:00:00,money transfer,100000,Expense
01/12/2015 00:00:00,gift,10240,Expense
01/12/2015 00:00:00,public provident fund,100000,Expense
01/12/2015 00:00:00,money transfer,500000,Expense
01/12/2015 00:00:00,food,840,Expense
01/12/2015 00:00:00,apparel,7730,Expense
01/13/2015 18:52:00,food,100,Expense
01/13/2015 18:52:00,other,5000,Expense
01/14/2015 12:42:00,transportation,7600,Expense
01/14/2015 15:35:00,food,1200,Expense
01/14/2015 23:38:00,food,130,Expense
01/15/2015 18:23:00,food,100,Expense
01/15/2015 18:23:00,transportation,1000,Expense
01/15/2015 22:22:00,food,1550,Expense
01/16/2015 16:30:00,transportation,100,Expense
01/16/2015 16:32:00,transportation,500,Expense
01/16/2015 16:33:00,transportation,300,Expense
01/18/2015 07:31:00,food,290,Expense
01/18/2015 07:31:00,food,80,Expense
01/18/2015 07:33:00,food,600,Expense
01/19/2015 07:34:00,food,290,Expense
01/20/2015 09:32:00,food,650,Expense
01/21/2015 09:05:00,food,500,Expense
01/21/2015 09:32:00,food,280,Expense
01/21/2015 13:11:00,transportation,1380,Expense
01/21/2015 13:12:00,transportation,2640,Expense
01/21/2015 18:17:00,household,600,Expense
01/21/2015 18:17:00,food,1200,Expense
01/21/2015 18:17:00,food,270,Expense
01/22/2015 16:44:00,food,330,Expense
01/22/2015 16:44:00,food,200,Expense
01/24/2015 16:17:00,food,300,Expense
01/25/2015 18:45:00,beauty,600,Expense
01/26/2015 07:40:00,food,3110,Expense
01/26/2015 07:42:00,food,300,Expense
01/26/2015 19:39:00,food,260,Expense
01/27/2015 18:34:00,food,300,Expense
01/27/2015 18:34:00,food,150,Expense
01/29/2015 07:30:00,food,150,Expense
01/29/2015 07:30:00,food,380,Expense
01/29/2015 07:30:00,food,260,Expense
01/30/2015 23:10:00,transportation,1000,Expense
01/30/2015 23:10:00,food,10040,Expense
01/31/2015 16:14:00,food,400,Expense
01/31/2015 16:14:00,food,200,Expense
02/01/2015 00:00:00,food,100,Expense
02/01/2015 00:00:00,food,280,Expense
02/01/2015 00:00:00,other,100000,Expense
02/01/2015 00:00:00,food,660,Expense
02/02/2015 00:00:00,other,100000,Expense
02/02/2015 00:00:00,food,300,Expense
02/02/2015 00:00:00,food,260,Expense
02/03/2015 00:00:00,food,300,Expense
02/03/2015 00:00:00,food,250,Expense
02/03/2015 00:00:00,transportation,100,Expense
02/03/2015 00:00:00,food,400,Expense
02/03/2015 00:00:00,health,3000,Expense
02/03/2015 00:00:00,health,2260,Expense
02/03/2015 00:00:00,rent,28330,Expense
02/03/2015 00:00:00,money transfer,100000,Expense
02/04/2015 00:00:00,cook,50000,Expense
02/05/2015 00:00:00,money transfer,100000,Expense
02/05/2015 00:00:00,food,280,Expense
02/07/2015 00:00:00,other,3120,Expense
